model,category,domain,difficulty,mean_pairwise_distance,num_unique
gpt-4.1,cuisine,food,easy,0.702747106552124,2
gpt-4.1,documentary film,film,medium,0.8153640627861023,3
gpt-4.1,era in human history,general,medium,0.0,1
gpt-4.1,film noir,film,hard,0.7593979239463806,3
gpt-4.1,graphic novel,literature,medium,0.0,1
gpt-4.1,hip-hop producer,music,medium,0.7594121694564819,5
gpt-4.1,historical site,travel,medium,0.7303323745727539,4
gpt-4.1,hobby for adults,general,easy,0.7936280369758606,3
gpt-4.1,horror film director,film,medium,0.7921739220619202,3
gpt-4.1,invention of the 20th century,tech,easy,0.830327033996582,4
gpt-4.1,island destination,travel,medium,0.5794682502746582,5
gpt-4.1,jazz album,music,medium,0.8424873352050781,3
gpt-4.1,life skill to learn,general,easy,0.0,1
gpt-4.1,mathematical theorem,tech,hard,0.7548547387123108,6
gpt-4.1,national park in the United States,travel,medium,0.0,1
gpt-4.1,non-fiction book,literature,medium,0.8415207266807556,8
gpt-4.1,novel of the 21st century,literature,medium,0.0,1
gpt-4.1,open-source software project,tech,medium,0.6850430369377136,3
gpt-4.1,poet,literature,easy,0.7064597010612488,6
gpt-4.1,programming language,tech,easy,0.7739803194999695,3
gpt-4.1,rock band,music,easy,0.5357763767242432,3
gpt-4.1,sci-fi movie,film,easy,0.6231771111488342,3
gpt-4.1,scientific discovery,tech,medium,0.9450671672821045,2
gpt-4.1,short story writer,literature,medium,0.7447167634963989,7
gpt-4.1,singer-songwriter of the 2010s,music,medium,0.6231702566146851,6
gpt-4.1,spice,food,medium,0.0,1
gpt-4.1,vegetable,food,easy,0.6391099095344543,2
gpt-4.1,video game of the 2010s,sports,medium,0.851369321346283,3
llama-4-maverick,Olympic sport,sports,easy,0.6699705719947815,4
llama-4-maverick,animated TV show,film,easy,0.8351982831954956,6
llama-4-maverick,basketball player of all time,sports,easy,0.5608034729957581,4
llama-4-maverick,board game,sports,medium,0.8075433969497681,5
llama-4-maverick,branch of philosophy,general,hard,0.0,1
llama-4-maverick,career path,general,easy,0.6583297252655029,2
llama-4-maverick,cheese,food,medium,0.64011549949646,3
llama-4-maverick,chess opening,sports,hard,0.7529197931289673,2
llama-4-maverick,city to visit in Europe,travel,easy,0.8764039874076843,3
llama-4-maverick,classical composer,music,easy,0.6821015477180481,3
llama-4-maverick,coffee brewing method,food,medium,0.6369767785072327,4
llama-4-maverick,country for solo travel,travel,medium,0.0,1
llama-4-maverick,cuisine,food,easy,0.43400585651397705,2
llama-4-maverick,documentary film,film,medium,0.8358421325683594,2
llama-4-maverick,era in human history,general,medium,0.0,1
llama-4-maverick,film noir,film,hard,0.73623126745224,2
llama-4-maverick,graphic novel,literature,medium,0.7346062064170837,6
llama-4-maverick,hip-hop producer,music,medium,0.0,1
llama-4-maverick,historical site,travel,medium,0.6789410710334778,3
llama-4-maverick,hobby for adults,general,easy,0.0,1
llama-4-maverick,horror film director,film,medium,0.8203556537628174,2
llama-4-maverick,invention of the 20th century,tech,easy,0.7659804224967957,7
llama-4-maverick,island destination,travel,medium,0.6708486676216125,6
llama-4-maverick,jazz album,music,medium,0.7913442850112915,5
llama-4-maverick,life skill to learn,general,easy,0.663792073726654,3
llama-4-maverick,mathematical theorem,tech,hard,0.6329247951507568,3
llama-4-maverick,national park in the United States,travel,medium,0.4548109471797943,3
llama-4-maverick,non-fiction book,literature,medium,0.883036196231842,2
llama-4-maverick,novel of the 21st century,literature,medium,0.7664794921875,3
llama-4-maverick,open-source software project,tech,medium,0.7816428542137146,4
llama-4-maverick,poet,literature,easy,0.5144243240356445,5
llama-4-maverick,programming language,tech,easy,0.6980753540992737,3
llama-4-maverick,rock band,music,easy,0.7038487195968628,2
llama-4-maverick,sci-fi movie,film,easy,0.0,1
llama-4-maverick,scientific discovery,tech,medium,0.9349080920219421,3
llama-4-maverick,short story writer,literature,medium,0.6486378312110901,3
llama-4-maverick,singer-songwriter of the 2010s,music,medium,0.7219672799110413,4
llama-4-maverick,spice,food,medium,0.7517618536949158,4
llama-4-maverick,vegetable,food,easy,0.0,1
llama-4-maverick,video game of the 2010s,sports,medium,0.865835964679718,6
qwen3-235b,animated TV show,film,easy,0.8718228936195374,6
qwen3-235b,classical composer,music,easy,0.632793664932251,6
qwen3-235b,documentary film,film,medium,0.8321606516838074,4
qwen3-235b,film noir,film,hard,0.8538475036621094,4
qwen3-235b,hip-hop producer,music,medium,0.8198251724243164,5
qwen3-235b,horror film director,film,medium,0.7427510619163513,3
qwen3-235b,jazz album,music,medium,0.9016995429992676,8
qwen3-235b,novel of the 21st century,literature,medium,0.8420029878616333,5
qwen3-235b,rock band,music,easy,0.7744267582893372,7
qwen3-235b,sci-fi movie,film,easy,0.8169422745704651,4
qwen3-235b,short story writer,literature,medium,0.7803988456726074,2
qwen3-235b,singer-songwriter of the 2010s,music,medium,0.7004656195640564,9
